,artist,title,stream_count
3562,magic trick,river of souls,131331
3563,dudley perkins,dr. stokley,299283
3567,ukkonen,the ancient tonalities of,245397
3568,way through,clapper is still,49488
3576,drexciya,journey of the deep sea dweller iv,455647
3577,kerridge,a fallen empire,28408
3578,the verlaines,hallelujah all the way home,93927
3580,the thing,boot!,52639
3581,lumbar,the first and last days of unwelcome,109340
3582,bryce hackford,fair,60703
3584,childish gambino,because the internet,1088987960
3585,the fall,remainderer ep,64305
3586,ian isiah,the love champion,108086
3587,vastum,patricidal lust,89739
3588,zachary cale,blue rider,511704
3589,neil young,live at the cellar door,9306690
3590,xiu xiu,nina,329235
3591,patrick cowley,school daze,598468
3592,ron morelli,spit,73809
3594,r. kelly,black panties,89590646
3596,david novick,david novick,0
3599,7 days of funk,7 days of funk,81736
3600,robert pollard,blazing gentlemen,63609
3601,gardland,syndrome syndrome,0
3602,inquisition,obscure verses for the multiverse,1200672
3604,mastodon,live at brixton,5356899
3606,iron chic,the constant one,4192749
3607,noveller,no dreams,137887
3608,bloodyminded,within the walls,5404
3609,bright eyes,a christmas album,7354253
3610,rhys chatham,harmonie du soir,35809
3613,physical therapy,non-drowsy,2376
3614,beedeegee,sum/one,326942
3617,heatsick,re-engineering,84426
3618,vaura,the missing,118331
3619,black flag,what the...,2546736
3621,emily jane white,blood/lines,617786
3622,mike donovan,wot,0
3624,nick cave & the bad seeds,live from kcrw,18608364
3625,phill niblock,touch five,27195
3626,kevin morby,harlem river,19958043
3627,guido,moods of future joy,13204
3628,perera elsewhere,everlast,719148
3630,raum,event of your leaving,245962
3631,shearwater,fellow travelers,2075882
3632,beachwood sparks,desert skies,342588
3633,creep,echoes,2278012
3634,milosh,jetlag,2585015
3635,mick turner,don't tell the driver,50387
3636,gap dream,shine your light,1934179
3640,various artists,purple snow: forecasting the minneapolis sound,2158591
3641,sebastien grainger,yours to discover,193250
3642,egyptrixx,a/b til infinity,141284
3643,jensen sportag,stealth of days,384396
3645,tindersticks,across six leap years,3227198
3649,the killers,direct hits,2227867859
3650,russian circles,memorial,7369397
3651,logos,cold mission,297938
3652,ricardo donoso,"as iron sharpens iron, one verse sharpens another",62321
3654,soundgarden,screaming life / fopp,4944079
3655,excepter,christisland,0
3656,anna calvi,one breath,7942460
3658,vatican shadow,remember your black day,355740
3659,death grips,government plates,12380130
3660,andrew bird,i want to see pulaski at night,37670059
3661,the stranger,watching dead empires in decay,1106
3662,minor alps,get there,1055225
3663,skeletonwitch,serpents unleashed,3499063
3665,various artists,saint heron,7745455
3666,magik markers,surrender to the fantasy,1169
3668,future of the left,how to stop your brain in an accident,1567037
3669,john talabot,dj-kicks,4589485
3670,throwing muses,purgatory/paradise,973360
3671,wooden shjips,back to land,9049587
3672,cate le bon,mug museum,12240184
3673,whores,clean,1031153
3674,the beatles,on air - live at the bbc vol. 2,8246214
3675,yamantaka // sonic titan,uzu,378490
3676,various artists,i am the center: private issue new age music in america 1950-1990,1256004
3677,brad laner,nearest suns,16899
3678,boogarins,as plantas que curam,6783965
3679,blood orange,cupid deluxe,89238971
3680,various artists,songs for slim: rockin' here tonight,757291
3683,skin town,the room,971801
3685,moonface,julia with blue jeans on,1402309
3688,jonwayne,rap album one,5269104
3689,grizzly bear,shields: b-sides,6945621
3690,mount eerie,pre-human ideas,347753
3691,luke temple,good mood fool,6554691
3692,connan mockasin,caramel,22094939
3695,gesaffelstein,aleph,48988708
3697,william onyeabor,who is william onyeabor?,19597344
3698,luscious jackson,magic hour,268603
3701,matana roberts,coin coin chapter two: mississippi moonchile,626798
3702,nguzunguzu,skycell,436250
3703,latyrx,the second album,1052767
3705,death cab for cutie,transatlanticism,139966078
3706,yvette,process,160317
3709,m.i.a.,matangi,176792013
3710,mellowhigh,mellowhigh,8287288
3713,sapphire slows,allegoria,144318
3714,cut copy,free your mind,14716087
3715,the beta band,the regal years: 1997-2004,29946041
3717,doley bernays,just in case,39508
3718,midlake,antiphon,9673934
3719,the range,nonfiction,4889075
3720,active child,rapor ep,12445321
3722,yancey boys,sunset blvd.,2343514
3723,miracle,mercury,77235
3725,laurel halo,chance of rain,2737193
3726,matt kivel,double exposure,1129810
3727,black devil disco club,black moon white sun,216589
3728,oozing wound,retrash,142618
3729,sky ferreira,"night time, my time",42361017
3730,los campesinos!,no blues,5775748
3731,son lux,lanterns,50659832
3732,upset,she's gone,314450
3733,gnaw,horrible chamber,3232
3734,arcade fire,reflektor,215689556
3736,audacity,butter knife,344529
3739,mutual benefit,love's crushing diamond,8817626
3740,omar souleyman,wenu wenu,4680064
3741,unwound,kid is gone,319917
3743,castevet,obsian,59452
3744,ryan hemsworth,guilt trips,5199977
3746,special request,soul music,1113042
3747,boardwalk,boardwalk,4622682
3748,doomriders,grand blood,919969
3749,juana molina,wed 21,5287451
3751,happy jawbone family band,happy jawbone family band,3126903
3752,daniel avery,drone logic,12598970
3753,red fang,whales and leeches,7328312
3754,dj rashad,double cup,6260431
3755,black milk,"no poison, no paradise",2908492
3758,earthless,from the ages,2687920
3759,best coast,fade away,8647475
3761,dead gaze,brain holiday,136305
3762,cfcf,outside,1285629
3763,subrosa,more constant than the gods,928347
3764,kelela,cut 4 me,19637986
3765,cass mccombs,big wheel and others,37770866
3767,schneider tm,guitar sounds,8513
3769,four tet,beautiful rewind,15865175
3771,courtney barnett,the double ep: a sea of split peas,50215848
3773,cave,threace,353236
3775,paul mccartney,new,22442903
3776,crystal antlers,nothing is real,207600
3777,summer camp,summer camp,5619723
3778,leverage models,leverage models,66225
3779,tim hecker,virgins,5815955
3780,pearl jam,lightning bolt,134271672
3781,hoax,hoax,248571
3782,frog eyes,carey's cold spring,68829
3783,the body,"christs, redeemers",269639
3784,cults,static,34294786
3787,various artists,red hot + fela,1713944
3788,bill orcutt,a history of every one,84969
3791,various artists,afrobeat airways 2: return flight to ghana 1974-1983,510087
3792,the dirtbombs,ooey gooey chewy ka-blooey,550414
3793,in solitude,sister,1437026
3794,glasser,interiors,8256934
3795,lee ranaldo and the dust,last night on earth,316969
3797,elf power,sunlight on the moon,606842
3798,into it. over it.,intersections,5757613
3799,pusha t,my name is my name,127430004
3802,tape deck mountain,sway,43324
3804,sleigh bells,bitter rivals,8674121
3805,alex chilton,electricity by candlelight,137085
3807,steve hauschildt,s/h,983460
3808,yuppies,yuppies,106814
3809,darkside,psychic,43326756
3810,polvo,siberia,495722
3811,rjd2,more is than isn't,25193315
3814,oneohtrix point never,r plus seven,8325933
3816,the blow,the blow,9324130
3817,quasi,mole city,349452
3818,forest fire,screens,294157
3819,danny brown,old,87181504
3821,lorde,pure heroine,1684446337
3822,blitzen trapper,vii,12066119
3823,kelley stoltz,double exposure,1238496
3824,the field,cupid's head,2018013
3826,the foreign exchange,love in flying colors,2816992
3827,connections,body language,99960
3828,cuushe,butterfly case,816059
3829,justin timberlake,the 20/20 experience 2 of 2,267361611
3830,machinedrum,vapor city,8401181
3831,yuck,glow & behold,3382705
3832,melt-banana,fetch,2520765
3833,pinkish black,razed to the ground,130851
3834,haim,days are gone,347492019
3835,fuzz,fuzz,12295507
3836,dr. dog,b-room,31234870
3837,san fermin,san fermin,17929333
3838,youth code,youth code,1889003
