reviewid,genre,count_of_genre
21895,rock,2
21895,global,2
22085,pop/r&b,1
22071,electronic,1
22059,rock,1
22104,pop/r&b,1
22035,pop/r&b,1
22060,pop/r&b,1
22092,folk/country,1
22016,folk/country,1
22026,electronic,1
22065,electronic,1
22091,electronic,1
22086,pop/r&b,2
22086,experimental,2
22015,jazz,2
22015,metal,2
22072,electronic,1
22074,metal,1
22089,rap,1
22027,rock,2
22027,electronic,2
22080,rock,1
22083,pop/r&b,1
21883,pop/r&b,1
22076,experimental,1
22067,rock,1
22084,rock,1
22069,rock,1
22056,rock,1
22054,rock,1
22079,rap,1
22081,rock,1
22063,rock,1
22082,experimental,1
22077,rap,1
22078,electronic,1
22066,,0
22022,experimental,1
22052,pop/r&b,1
22070,,0
22029,pop/r&b,1
22021,rock,1
22030,experimental,1
22013,rock,2
22013,experimental,2
21969,folk/country,1
22001,,0
22055,rock,1
22041,rock,2
22041,metal,2
22068,rock,1
22042,electronic,1
22039,electronic,1
21985,rock,1
22018,rock,2
22018,electronic,2
22058,pop/r&b,1
21968,,0
22053,rock,1
22019,electronic,1
22014,rock,2
22014,electronic,2
22038,jazz,2
22038,experimental,2
22007,jazz,1
22050,rock,1
21719,pop/r&b,1
22012,,0
22032,experimental,1
22049,electronic,1
22048,rock,1
22017,electronic,1
22005,rock,1
21970,rock,1
22036,rap,1
21971,folk/country,1
21979,rock,1
21994,rock,1
21988,rap,1
21984,electronic,1
22000,pop/r&b,1
21992,rock,1
22010,electronic,1
22011,rock,1
22034,,0
21951,electronic,1
22037,rock,1
22024,rock,1
21884,rock,1
22046,rap,1
21982,metal,1
21973,rock,1
21726,rock,1
22033,rock,1
21991,electronic,1
22004,rock,1
22040,pop/r&b,1
21974,rock,2
21974,electronic,2
22008,experimental,1
22006,rock,1
21972,electronic,1
22031,rap,1
21945,rock,1
21995,rock,1
21965,rock,2
21965,electronic,2
21882,experimental,1
22002,jazz,1
21990,electronic,1
21885,experimental,1
21967,electronic,1
21966,rock,4
21966,global,4
21966,experimental,4
21966,electronic,4
21889,metal,1
21964,pop/r&b,1
21980,electronic,1
21946,rock,3
21946,pop/r&b,3
