artist,title,neg,neu,pos,compound
gord downie,secret path,0.07400000000000001,0.894,0.032,-0.9938
roy montgomery,r m h q: headquarters,0.05,0.833,0.117,0.994
"patrick cowley, candida royalle",candida cosmica,0.0,0.885,0.115,0.9967
d.r.a.m.,big baby d.r.a.m.,0.046,0.804,0.151,0.9986
the radio dept.,running out of love,0.036000000000000004,0.8490000000000001,0.115,0.9872
luis,dreamt takes,0.02,0.861,0.119,0.9918
donny mccaslin,beyond now,0.01,0.8959999999999999,0.094,0.976
various artists,lazarus ost,0.079,0.8390000000000001,0.08199999999999999,-0.1598
david crosby,lighthouse,0.08,0.7859999999999999,0.134,0.9859
jojo,mad love.,0.063,0.7709999999999999,0.166,0.9977
n.m.o.,nordic mediterranean organization / numerous miscommunications occur,0.079,0.84,0.081,-0.586
american football,american football,0.061,0.8420000000000001,0.097,0.9948
sleaford mods,t.c.r. ep,0.078,0.8420000000000001,0.081,0.6173
jubilee,after hours,0.058,0.8809999999999999,0.061,0.5526
crying,beyond the fleeting gales,0.059,0.84,0.101,0.9697
lady gaga,joanne,0.069,0.799,0.131,0.9976
tanya tagaq,retribution,0.118,0.81,0.07200000000000001,-0.998
oval,popp,0.03,0.809,0.161,0.9984
jonathan finlayson & sicilian defense,moving still,0.032,0.799,0.16899999999999998,0.9981
leonard cohen,you want it darker,0.101,0.7709999999999999,0.129,0.9771
male bonding,headache,0.08900000000000001,0.787,0.124,0.9759
savoy motel,savoy motel,0.044,0.86,0.096,0.9764
oozing wound,whatever forever,0.087,0.79,0.122,0.9693
from indian lakes,everything feels better now,0.068,0.7909999999999999,0.141,0.9949
ramones,end of the century,0.097,0.778,0.125,0.9978
jimmy eat world,integrity blues,0.076,0.7659999999999999,0.158,0.9989
various artists,say yes! a tribute to elliott smith,0.097,0.794,0.11,0.4992
meshuggah,the violent sleep of reason,0.073,0.868,0.059,-0.9348
axis: sova,motor earth,0.071,0.8059999999999999,0.123,0.9872
gucci mane,woptober,0.084,0.725,0.191,0.9979
moby & the void pacific choir,these systems are failing ,0.121,0.752,0.127,0.8384
kag,ep a,0.063,0.8270000000000001,0.11,0.9804
gods wisdom,self restraint,0.08900000000000001,0.726,0.185,0.9969
kings of leon,walls,0.079,0.8340000000000001,0.087,0.8217
katie gately,color,0.055,0.856,0.08900000000000001,0.9769
jagwar ma,every now & then,0.05,0.833,0.118,0.9954
matt kivel,fires on the plain,0.065,0.82,0.115,0.9885
weyes blood,front row seat to earth,0.059,0.777,0.16399999999999998,0.9984
boogie,thirst 48 pt. ii,0.081,0.8059999999999999,0.112,0.9588
powell,sport,0.105,0.794,0.101,-0.7043
wife,standard nature,0.042,0.852,0.106,0.9925
nxworries,yes lawd!,0.054000000000000006,0.816,0.13,0.9982
regina spektor,remember us to life,0.084,0.853,0.064,-0.2276
darkthrone,arctic thunder,0.132,0.7559999999999999,0.112,-0.9192
mark ernestus' ndagga rhythm force,yermande,0.041,0.871,0.08800000000000001,0.988
jamie lidell,building a beginning,0.03,0.815,0.155,0.9978
terry allen,lubbock (on everything),0.03,0.8959999999999999,0.07400000000000001,0.9817
mono,requiem for hell,0.06,0.8029999999999999,0.136,0.9952
wadada leo smith,america's national parks,0.062,0.802,0.136,0.9952
warehouse,super low,0.106,0.752,0.142,0.9801
randy newman,good old boys,0.077,0.779,0.14400000000000002,0.9996
the orb,"cow / chill out, world!",0.029,0.898,0.073,0.9841
lizzo,coconut oil ,0.063,0.812,0.124,0.9929
marie davidson,adieux au dancefloor,0.093,0.7809999999999999,0.126,0.9785
purling hiss,high bias,0.042,0.7879999999999999,0.17,0.9959
johnny jewel,home ost,0.069,0.802,0.129,0.9942
the shaggs,philosophy of the world,0.078,0.833,0.08900000000000001,0.9742
pat thomas,coming home (original ghanaian highlife & afrobeat classics 1967-1981),0.022,0.884,0.094,0.9958
dusky,outer,0.058,0.8,0.142,0.9979
big star,complete third,0.075,0.82,0.105,0.9934
swet shop boys,cashmere,0.066,0.815,0.119,0.9925
youandewan,there is no right time,0.058,0.821,0.121,0.9955
emma ruth rundle,marked for death,0.132,0.722,0.146,0.8834
conor oberst,ruminations,0.119,0.747,0.134,0.9355
joyce manor,cody,0.058,0.8540000000000001,0.087,0.9609
banks,the altar,0.06,0.8690000000000001,0.07200000000000001,0.9021
dva [hi:emotions],notu_uronlineu,0.043,0.828,0.129,0.9968
hiss golden messenger,heart like a levee,0.08800000000000001,0.753,0.158,0.9984
norah jones,day breaks,0.04,0.8640000000000001,0.095,0.9875
g perico,shit don't stop,0.13,0.773,0.097,-0.9739
brookzill!,throwback to the future,0.06,0.868,0.07200000000000001,0.2439
green day,revolution radio,0.118,0.807,0.075,-0.9852
goat,requiem ,0.04,0.87,0.09,0.989
mv & ee,root/void,0.043,0.789,0.168,0.9977
gatecreeper,sonoran depravation,0.058,0.825,0.116,0.988
candiria,while they were sleeping,0.061,0.828,0.111,0.9907
janet jackson,rhythm nation 1814,0.04,0.877,0.083,0.9974
oasis,be here now,0.075,0.84,0.085,0.9168
helado negro,private energy,0.042,0.852,0.105,0.9969
dj mustard,cold summer,0.047,0.821,0.132,0.9977
opeth,sorceress,0.094,0.8009999999999999,0.104,0.5758
moses sumney,lamentations ,0.055,0.841,0.104,0.9676
phish,big boat,0.065,0.8109999999999999,0.124,0.9923
phantogram,three,0.068,0.8290000000000001,0.102,0.9703
the caretaker,everywhere at the end of time,0.077,0.758,0.165,0.9979
pixies,head carrier,0.054000000000000006,0.812,0.134,0.9974
francis and the lights,"farewell, starlite!",0.03,0.8079999999999999,0.163,0.9976
neurosis,fires within fires,0.061,0.8420000000000001,0.097,0.9725
yves tumor,serpent music,0.08,0.847,0.073,-0.2742
solange,a seat at the table,0.047,0.799,0.153,0.9992
balance and composure,light we made,0.044,0.8490000000000001,0.107,0.9939
supersilent,13,0.071,0.802,0.127,0.9906
bruce haack,the electric lucifer,0.08800000000000001,0.8240000000000001,0.08800000000000001,-0.7509
jenny hval,blood bitch,0.115,0.757,0.129,0.9708
jack rose,"red horse, white mule",0.038,0.8290000000000001,0.133,0.9996
lusa maita,fio da memria,0.03,0.852,0.118,0.9947
oathbreaker,rheia,0.124,0.8059999999999999,0.071,-0.993
aaron abernathy,monologue,0.053,0.768,0.179,0.9986
danny brown,atrocity exhibition,0.062,0.8029999999999999,0.136,0.9983
innanet james,quebec place,0.016,0.8809999999999999,0.103,0.9946
darcy james argue's secret society,real enemies,0.08900000000000001,0.8109999999999999,0.1,0.8913
"masayoshi fujita, jan jelinek",schaum,0.033,0.861,0.107,0.9913
guided by voices,alien lanes,0.056,0.833,0.111,0.999
bob weir,blue mountain,0.065,0.84,0.095,0.9379
s u r v i v e,rr7349,0.035,0.812,0.154,0.9982
steve reich,the ecm recordings,0.012,0.866,0.122,0.9991
carl stone,electronic music from the seventies and eighties,0.047,0.892,0.061,0.7236
bon iver,"22, a million",0.102,0.805,0.092,-0.9114
mike & rich,expert knob twiddlers,0.017,0.8809999999999999,0.101,0.9833
thomas brinkmann,a 1000 keys,0.04,0.885,0.075,0.9843
psychic tv,alienist,0.033,0.8290000000000001,0.138,0.9967
nicolas jaar,sirens,0.054000000000000006,0.8290000000000001,0.117,0.9986
warpaint,heads up,0.067,0.8390000000000001,0.094,0.9185
moor mother,fetish bones,0.093,0.8190000000000001,0.08900000000000001,-0.7249
blonde redhead,masculin fminin,0.041,0.851,0.108,0.9985
mick jenkins,the healing component,0.11,0.769,0.121,-0.337
ty dolla $ign,campaign,0.067,0.799,0.135,0.9924
flock of dimes,"if you see me, say yes",0.033,0.838,0.129,0.9956
lvl up,return to love,0.07,0.78,0.15,0.9961
devendra banhart,ape in pink marble,0.043,0.813,0.145,0.997
machinedrum,human energy,0.024,0.882,0.093,0.993
chinx,legends never die,0.055,0.8079999999999999,0.138,0.995
itasca,open to chance,0.049,0.736,0.215,0.9984
how to dress well,care,0.08,0.743,0.177,0.999
fleetwood mac,mirage,0.056,0.857,0.087,0.9803
merchandise,a corpse wired for sound,0.056,0.8029999999999999,0.141,0.9972
beach slang,a loud bash of teenage feelings,0.099,0.768,0.132,0.9901
alunageorge,i remember,0.061,0.794,0.145,0.9931
erykah badu,mamas gun,0.08,0.809,0.111,0.999
against me!,shape shift with me,0.053,0.835,0.112,0.9928
the gaslamp killer,instrumentalepathy,0.069,0.8,0.13,0.9947
crooked man,crooked man,0.033,0.805,0.162,0.9988
eola,dang,0.023,0.873,0.104,0.9914
"hamilton leithauser, rostam",i had a dream that you were mine,0.034,0.823,0.14300000000000002,0.9988
local natives,sunlit youth,0.061,0.85,0.08900000000000001,0.972
biosphere,departed glories,0.106,0.75,0.14400000000000002,0.9794
mykki blanco,mykki,0.092,0.7929999999999999,0.114,0.9534
bruce springsteen,chapter and verse,0.03,0.87,0.1,0.9982
die antwoord,mount ninji and da nice time kid,0.133,0.7490000000000001,0.119,-0.9665
dyke drama,up against the bricks,0.108,0.81,0.08199999999999999,-0.9243
a tribe called red,we are the halluci nation,0.041,0.875,0.084,0.985
usher,hard ii love,0.058,0.757,0.184,0.9985
pallbearer,fear and fury,0.107,0.7979999999999999,0.095,-0.8528
kool keith,feature magnetic,0.08900000000000001,0.823,0.087,-0.1332
randy newman,the randy newman songbook,0.025,0.865,0.11,0.9967
led zeppelin,the complete bbc sessions,0.057,0.857,0.086,0.9933
various artists,imaginational anthem vol. 8 : the private press,0.027000000000000003,0.851,0.123,0.9966
grumbling fur,furfour,0.039,0.865,0.096,0.9946
croatian amor,love means taking action,0.064,0.7979999999999999,0.138,0.9897
preoccupations,preoccupations,0.1,0.785,0.115,0.6342
robert glasper experiment,artscience,0.015,0.852,0.134,0.9952
mndsgn,body wash,0.016,0.8590000000000001,0.125,0.9964
sumerlands,sumerlands,0.045,0.843,0.112,0.9903
brian eno,another green world,0.058,0.818,0.124,0.9995
mac miller,the divine feminine ,0.026,0.777,0.198,0.9996
julius eastman,femenine,0.059,0.835,0.107,0.9973
"bryce dessner, aaron dessner",transpecos ost,0.05,0.8640000000000001,0.087,0.9717
"dj fresh, ezale",the tonite show,0.039,0.851,0.11,0.9811
cymbals eat guitars,pretty years,0.079,0.7190000000000001,0.202,0.9991
touch amor,stage four,0.1,0.8059999999999999,0.093,-0.9201
silver apples,clinging to a dream,0.018000000000000002,0.8740000000000001,0.108,0.9928
"matthew shipp, bobby kapp",cactus,0.039,0.835,0.126,0.9878
"kaitlyn aurelia smith, suzanne ciani",sunergy,0.032,0.8420000000000001,0.126,0.998
fudge,lady parts,0.04,0.7759999999999999,0.185,0.9991
wrekmeister harmonies,light falls,0.105,0.752,0.14400000000000002,0.9825
tim presley,the wink,0.067,0.785,0.14800000000000002,0.9923
nick cave & the bad seeds,skeleton tree,0.122,0.779,0.099,-0.9865
manuel gttsching,e2-e4,0.029,0.8140000000000001,0.158,0.9996
cristian vogel,the assistenz,0.06,0.853,0.08800000000000001,0.9551
el perro del mar,kokoro,0.041,0.8059999999999999,0.153,0.9978
m.i.a.,aim ,0.08800000000000001,0.7929999999999999,0.119,0.9872
neil young,time fades away,0.098,0.799,0.103,0.9119
jhann jhannsson,orphe,0.025,0.831,0.14400000000000002,0.9982
various artists,desconstruo,0.024,0.907,0.069,0.9795
jack white,acoustic recordings 1998-2016,0.04,0.871,0.08900000000000001,0.9915
"steve buscemi, elliott sharp",rub out the word,0.07,0.807,0.124,0.9922
alpha 606,afro-cuban electronics,0.045,0.8640000000000001,0.09,0.992
adam torres,pearls to swine,0.027000000000000003,0.8640000000000001,0.109,0.9947
vox clamantis,arvo prt: the deer's cry,0.065,0.799,0.13699999999999998,0.9933
caetano veloso,caetano veloso,0.066,0.8420000000000001,0.092,0.997
angelo badalamenti,twin peaks ost,0.046,0.82,0.134,0.9972
okkervil river,away,0.051,0.858,0.091,0.9856
banks & steelz,anything but words,0.039,0.81,0.152,0.9988
