artist,title
weyes blood,front row seat to earth
boogie,thirst 48 pt. ii
powell,sport
wife,standard nature
nxworries,yes lawd!
regina spektor,remember us to life
darkthrone,arctic thunder
mark ernestus' ndagga rhythm force,yermande
jamie lidell,building a beginning
terry allen,lubbock (on everything)
mono,requiem for hell
wadada leo smith,america's national parks
warehouse,super low
randy newman,good old boys
the orb,"cow / chill out, world!"
lizzo,coconut oil 
marie davidson,adieux au dancefloor
purling hiss,high bias
johnny jewel,home ost
the shaggs,philosophy of the world
pat thomas,coming home (original ghanaian highlife & afrobeat classics 1967-1981)
dusky,outer
big star,complete third
swet shop boys,cashmere
youandewan,there is no right time
emma ruth rundle,marked for death
conor oberst,ruminations
joyce manor,cody
banks,the altar
dva [hi:emotions],notu_uronlineu
hiss golden messenger,heart like a levee
norah jones,day breaks
g perico,shit don't stop
brookzill!,throwback to the future
green day,revolution radio
goat,requiem 
mv & ee,root/void
gatecreeper,sonoran depravation
candiria,while they were sleeping
janet jackson,rhythm nation 1814
oasis,be here now
helado negro,private energy
dj mustard,cold summer
opeth,sorceress
moses sumney,lamentations 
phish,big boat
phantogram,three
the caretaker,everywhere at the end of time
pixies,head carrier
francis and the lights,"farewell, starlite!"
neurosis,fires within fires
yves tumor,serpent music
solange,a seat at the table
balance and composure,light we made
supersilent,13
bruce haack,the electric lucifer
jenny hval,blood bitch
jack rose,"red horse, white mule"
lusa maita,fio da memria
oathbreaker,rheia
aaron abernathy,monologue
danny brown,atrocity exhibition
innanet james,quebec place
darcy james argue's secret society,real enemies
"masayoshi fujita, jan jelinek",schaum
guided by voices,alien lanes
bob weir,blue mountain
s u r v i v e,rr7349
steve reich,the ecm recordings
carl stone,electronic music from the seventies and eighties
bon iver,"22, a million"
mike & rich,expert knob twiddlers
thomas brinkmann,a 1000 keys
psychic tv,alienist
nicolas jaar,sirens
warpaint,heads up
moor mother,fetish bones
blonde redhead,masculin fminin
mick jenkins,the healing component
ty dolla $ign,campaign
flock of dimes,"if you see me, say yes"
lvl up,return to love
devendra banhart,ape in pink marble
machinedrum,human energy
chinx,legends never die
itasca,open to chance
how to dress well,care
fleetwood mac,mirage
merchandise,a corpse wired for sound
beach slang,a loud bash of teenage feelings
alunageorge,i remember
erykah badu,mamas gun
against me!,shape shift with me
the gaslamp killer,instrumentalepathy
crooked man,crooked man
eola,dang
"hamilton leithauser, rostam",i had a dream that you were mine
local natives,sunlit youth
biosphere,departed glories
mykki blanco,mykki
bruce springsteen,chapter and verse
die antwoord,mount ninji and da nice time kid
dyke drama,up against the bricks
a tribe called red,we are the halluci nation
usher,hard ii love
pallbearer,fear and fury
kool keith,feature magnetic
randy newman,the randy newman songbook
led zeppelin,the complete bbc sessions
various artists,imaginational anthem vol. 8 : the private press
grumbling fur,furfour
croatian amor,love means taking action
preoccupations,preoccupations
robert glasper experiment,artscience
mndsgn,body wash
sumerlands,sumerlands
brian eno,another green world
mac miller,the divine feminine 
julius eastman,femenine
"bryce dessner, aaron dessner",transpecos ost
"dj fresh, ezale",the tonite show
cymbals eat guitars,pretty years
touch amor,stage four
silver apples,clinging to a dream
"matthew shipp, bobby kapp",cactus
"kaitlyn aurelia smith, suzanne ciani",sunergy
fudge,lady parts
wrekmeister harmonies,light falls
tim presley,the wink
nick cave & the bad seeds,skeleton tree
manuel gttsching,e2-e4
cristian vogel,the assistenz
el perro del mar,kokoro
m.i.a.,aim 
neil young,time fades away
jhann jhannsson,orphe
various artists,desconstruo
jack white,acoustic recordings 1998-2016
"steve buscemi, elliott sharp",rub out the word
alpha 606,afro-cuban electronics
adam torres,pearls to swine
vox clamantis,arvo prt: the deer's cry
caetano veloso,caetano veloso
angelo badalamenti,twin peaks ost
okkervil river,away
banks & steelz,anything but words
lisa/liza,deserts of youth
wilco,schmilco
daniel lanois,goodbye to language
drugdealer,the end of comedy
james vincent mcmorrow,we move
travis scott,birds in the trap sing mcknight
p.s. eliot,2007-2011
carly rae jepsen,emotion side b
inc. no world,as light as light
isaiah rashad,the suns tirade 
eluvium,false readings on
circle,circle 1: live in germany concert
bibio,the serious ep
zomby,ultra
teenage fanclub,here
clipping.,splendor & misery
yohuna,patientness
terry riley,a rainbow in curved air
de la soul,and the anonymous nobody...
mekons,existentialism
nots,cosmetic
d.a.r.k.,science agrees
angel olsen,my woman
junior boys,kiss me all night ep
serpentwithfeet,blisters
william basinski,92982
young thug,jeffery
prince,"one nite alone, the aftershow: it ain't over!"
"soundwalk collective, patti smith, jesse paris smith",killer road
funk factory,funk factory
prophets of rage,the party's over ep
the beach boys,becoming the beach boys: the complete hite & dorinda morgan sessions
jon hopkins,opalescent
the dead c,trouble
vince staples,prima donna 
crystal castles,amnesty (i)
porches,water ep
nathan bowles,whole & cloven
cass mccombs,mangy love
"gucci mane, zaytoven",guctiggy ep
subrosa,for this we fought the battle of ages
motion graphics,motion graphics
the roots,things fall apart
"katy goodman, greta morgan","take it, its yours"
kornl kovcs,the bells
controlled bleeding,larva lumps and baby bumps
cassius,ibifornia 
red pill,instinctive drowning
feral,nexus
carl broemel,4th of july
frank ocean,blonde
various artists,atomic bomb compilation vol. 4
peter broderick,partners
battle trance,blade of love
tory lanez,i told you
brendan canning,home wrecking years
charlotte day wilson,cdw ep
tokyo black star,"""fantasy live 1999"""
sharon jones and the dap-kings,miss sharon jones! ost
tree,i.b. tree
mild high club,skiptracing
marielle v. jakobsons,star core
scott walker,the childhood of a leader ost
scott hirsch,blue rider songs
morgan delt,phase zero
"steve lehman, slbyone",slbyone
stevie wonder,songs in the key of life
ka,honor killed the samurai
"atticus ross, leopold ross, bobby krlic",almost holy ost
jefre cantu-ledesma,in summer
rattle,rattle
dj earl,open your eyes
sonic youth,spinhead sessions
various artists,radiating light: orchid tapes & friends
the grifters,crappin you negative
gonjasufi,callus
atmosphere,fishing blues
fury,paramount
hockey dad,boronia
"kyle dixon, michael stein","stranger things ost, vol. one"
kool a.d.,official
lexxi,5tarb01
alex cameron,jumping the shark
various artists,the get down ost
partynextdoor,partynextdoor 3 (p3)
pill,convenience
mal devisa,kiid
lando chill,"for mark, your son"
rae sremmurd,sremmlife 2
slow club,one day all of this won't matter any more
roosevelt,roosevelt
various artists,more better days
pj harvey,dry
2 chainz,daniel son ; necklace don
the chills,kaleidoscope world
ryley walker,golden sings that have been sung
the 7th plain,chronicles 1
thee oh sees,a weird exits
toro y moi,live from trona
factory floor,25 25
themind,summer camp
of montreal,innocence reaches
dj snake,encore
elvis presley,way down in the jungle room
roman flgel,verschiebung
various artists,the land ost
m. geddes gengras,interior architecture
jon bap,what now?
katie dey,flood network
various artists,suicide squad: the album
various artists,start your own fucking show space
zhu,generationwhy
tobacco,sweatbox dynasty
kllo,well worn
wild beasts,boy king
noname,telefone
michal turtle,phantoms of dreamland
cluster ensemble,cluster ensemble: plays philip glass
michael jackson,dangerous
sunny day real estate,how it feels to be something on
cam & china,cam & china
nels cline,lovers
panopticon,revisions of the past
dj khaled,major key
trim,1-800 dinosaur presents trim
"delia derbyshire, elsa stansfield",circle of light
rival consoles,night melody
descendents,hypercaffium spazzinate
lil uzi vert,the perfect luv tape
haley bonar,impossible dream
blowout,"no beer, no dad"
dinosaur jr., give a glimpse of what yer not
delroy edwards,hangin at the beach
thunder tillman,jaguar mirror
cheena,spend the night with...
nao,for all we know
steve aoki,4oki
shy layers,shy layers
owen,the king of whys
titus andronicus,s+@dium rock: five nights at the opera
hieroglyphic being,the discos of imhotep
meshuggah,meshuggah ep
metronome,take down
"mary lattimore, jeff zeigler",music inspired by philippe garrels le rvlateur 
red hot chili peppers,blood sugar sex magik
nina simone,in concert
various artists,sky girl
no joy,drool sucker
psalm zero,stranger to violence
elza soares, a mulher do fim do mundo (the woman at the end of the world) 
william s. burroughs,let me hang you
stwo,d.t.s.n.t. 
frankie reyes,boleros valses y mas
jeremih,late nights: europe
lil durk,lil durk 2x
lori mckenna,the bird & the rifle
tristan perich,noise patterns
lil yachty,summer songs 2
russian circles,guidance
florian kupfer,unfinished
hammers of misfortune,dead revolution
gucci mane,everybody looking
gap dream,this is gap dream
shy glizzy,young jefe 2
big business,command your weather
snoop dogg,coolaid
"blu, nottz",titans in the flesh
michael kiwanuka,love & hate
notekillers,songs and jams vol. 1
various artists,sound signature presents: these songs that should've been out on wax by now - part one
de la soul,buhloone mindstate
"21 savage, metro boomin",savage mode
wymond miles,call by night
the amazing,ambulance
jherek bischoff,cistern
floating points,kuiper
z-ro,drankin & drivin
various artists,gqom oh! x crudo volta mixtape
pauline oliveros,four meditations / sound geometries
jamila woods,heavn
dreezy,no hard feelings
max romeo,horror zone
johnny foreigner,mono no aware
ian william craig,centres
abra,princess
towkio,community service 2!
wreck and reference,indifferent rivers romance end
badbadnotgood,iv
mstrkrft,operator
pylon,pylon live
wolfgang tillmans,2016 / 1986
clams casino,32 levels
elysia crampton,elysia crampton presents: demon city
camp cope,camp cope
shackleton,devotional songs
konx-om-pax,caramel
fleetwood mac,tusk
the julie ruin,hit reset
migos,3 way
mark barrott,sketches from an island 2
various artists,eleven into fifteen: a 130701 compilation
shura,nothings real
betty davis,the columbia years 1968-69
kel valhaal,new introductory lectures on the system of transcendental qabala
jackmaster,dj-kicks
schoolboy q,blank face lp
darkstar,made to measure
trust punks,double bind
tangents,stateless
arca,entraas
lindstrm,windings
martha,blisters in the pit of my heart
john roberts,plum
maxwell,blacksummersnight
kelsey lu,church ep
eric copeland,black bubblegum
gone is gone,gone is gone
vivien goldman,resolutionary (songs 1979-1982)
risn murphy,take her up to monto
araabmuzik,dream world
gggs,gggs
roy wood$,waking at dawn
lauryn hill,the miseducation of lauryn hill
metronomy,summer 08
scharpling & wurster,live at third man records
marisa anderson,into the light
steven julien,fallen
the avalanches,wildflower
nite-funk,nite-funk
"nils frahm, woodkid",ellis
gojira,magma
aphex twin,cheetah
inter arma,paradise gallows
the game,streets of compton
hot hot heat,hot hot heat
blink-182,california
magic!,primary colours
weaves,weaves
egisto macchi,biologia animale e vegetale
bat for lashes,the bride
mick harvey,delirium tremens
alice bag,alice bag
stephen steinbrink,anagrams
pulp,different class
desiigner,new english
nice as fuck,nice as fuck
look mexico,uniola
sunpath,dream music
"future, dj esco",project e.t. esco terrestrial
james ferraro,human story 3
puro instinct,autodrama
david toop,entities inertias faint beings
blood orange,freetown sound
river tiber,indigo
lets eat grandma,"i, gemini"
lungfish,sound in time
"jim orourke, fennesz",its hard for me to say im sorry
deerhoof,the magic
told slant,going by
amy klein,fire
bruce springsteen,"the christic shows, november 16 & 17, 1990"
"blut aus nord, vangelist",codex obscura nomina
caveman,otero war
bjarki,b
suicide,suicide
the avett brothers,true sadness
delorean,muzik
yumi zouma,yoncalla
jay arner,jay ii
neil young,tonight's the night
dj shadow,the mountain will fall
grace jones,warm leatherette
"john cage, sun ra",john cage meets sun ra: the complete concert
allen toussaint,american tunes
g.l.o.s.s.,trans day of revenge
laura mvula,the dreaming room
odonis odonis,post plague
saqqara mastabas,libras
disclosure,moog for love
wye oak,tween
sui zhen,secretly susan
the gotobeds,blood // sugar // secs // traffic
mitski,puberty 2
bishop nehru,magic 19
brigid mae power,brigid mae power
rlyr,delayer
swans,the glowing man
yg,still brazy
"todd terje, the olsens",the big cover-up
ro james,eldorado
red hot chili peppers,the getaway
palmistry,pagan
will butler,friday night
vatican shadow,media in the service of terror
weval,weval
george harrison,all things must pass
case/lang/veirs,case/lang/veirs
yung,a youthful dream
kodak black,lil b.i.g. pac
nails,you will never be one of us
neil young,earth
jake bugg,on my one
the fall,live at the witch trials
audion,alpha
van morrison,"it's too late to stop now... volumes ii, iii, iv & dvd"
nick jonas,last year was complicated
nite jewel,liquid cool
"laraaji, sun araw",professional sunflow
waxahatchee,early recordings
dan lissvik,midnight
mozzy,mandatory check
diarrhea planet,turn to gold
band of horses,why are you ok
the temper trap,thick as thieves
jackie lynn,jackie lynn
nate wooley,argonautica
air,twentyears
huerco s.,for those of you who have never (and also those who have)
plaid,the digging remedy
holger czukay,movie!
sumac,what one becomes
kate bush,hounds of love
cornelius,fantasma
alexis taylor,piano
ladyhawke,wild things
fear of men,fall forever
garbage,strange little birds
speedy ortiz,foiled again
floorplan,victorious 
margaret glaspy,emotions and math
vic mensa,theres alot going on 
paul simon,stranger to stranger
peter bjorn and john,breakin point
terry reid,the other side of the river
tegan and sara,love you to death
various artists,blonde on blonde revisited
mourn,"ha, ha, he."
xenia rubinos,black terry cat
the strokes,future present past ep
the kills,ash & ice
lone,levitate
white zombie,it came from n.y.c.
whitney,light upon the lake
big thief,masterpiece
melvins,basses loaded
"moonface, siinai",my best human face
payroll giovanni,big bossin vol. 1
slum village,the fan-tas-tic box set
steve gunn,eyes on the lines
the wailers,the wailing wailers
cough,still they pray
joey purp,iiidrops
fifth harmony,7/27
dm-funk,dj-kicks
seiho,collapse
flume,skin
william tyler,modern country
die antwoord,suck on this
jank,awkward pop songs
mark kozelek,mark kozelek sings favorites
holy fuck,congrats
sepalcure,folding time
angry angles,angry angles
kevin gates,murder for hire 2
beth orton,kidsticks
minor victories,minor victories
angel du$t,rock the fuck on forever
daniel romano,mosey
kristin kontrol,x-communicate
pup,the dream is over
olga bell,tempo
rebolledo,mondo alterado
autechre,elseq 1
"robert glasper, miles davis",everything's beautiful
classixx,faraway reach
africans with mainframes,k.m.t.
the hotelier,goodness
the underachievers,it happened in flatbush
allen ginsberg,the last word on first blues
debo band,ere gobez
wolf parade,ep 4
islands,should i remain here at sea?
various artists,wake up you!: the rise & fall of nigerian rock 1972-1977 vol. 2
adult jazz,earrings off!
ariana grande,dangerous woman
gold panda,good luck and do your best
steve reich,four organs / phase patterns
mock orange,put the kid on the sleepy horse
david bowie,changesonebowie
dawn richard,infrared
so so glos,kamikaze
terry allen,juarez
bob dylan,fallen angels
pantha du prince,the triad
rhys chatham,pythagorean dream
eagulls,ullages
christian naujoks,wave
marissa nadler,strangers
richard ashcroft,these people
adia victoria,beyond the bloodhounds
carla bley,andando el tiempo
car seat headrest,teens of denial
post malone,august 26th
head wound city,a new wave of violence
tim heidecker,in glendale
various artists,day of the dead
mutual benefit,skip a sinking stone
torn hawk,union and return
oscar,cut and paste
jessy lanza,oh no
nothing,tired of tomorrow
a giant dog,pile
shit robot,what follows
chance the rapper,coloring book
summer cannibals,full of it 
jameszoo,fool
pinkshinyultrablast,happy songs for happy zombies
miles davis,the complete prestige 10-inch lp collection
modern baseball,holy ghost
kvelertak,nattesferd
arbor labor union,i hear you
hooded fang,venus on edge
ryan adams,heartbreaker (deluxe reissue)
skepta,konnichiwa
corinne bailey rae,the heart speaks in whispers
thomas cohen,bloom forever
kaytranada,99.9%
mark pritchard,under the sun
twin peaks,down in heaven
bacao rhythm & steel band,55
death grips,bottomless pit
jean-michel jarre,electronica 2: the heart of noise
pita,get in
seratones,get gone
radiohead,a moon shaped pool
luh,spiritual songs for lovers to sing
gregory porter,take me to the alley
mary chapin carpenter,the things that we are made of
james blake,the colour in anything
little scream,cult following
homeboy sandman,kindness for weakness
fog,for good
julianna barwick,will
helado negro,island universe story: selected works
meyhem lauren,piatto d'oro
chris cohen,as if apart
"jack dejohnette, ravi coltrane, matthew garrison",in movement
cluster,cluster 71
various artists,songs from wonder.land
britta phillips,luck or magic
mo troper,beloved
white lung,paradise
various artists,another splash of colour - new psychedelia in britain 1980-1985
vektor,terminal redux
big black delta,trgame tierra
anohni,hopelessness
pity sex,white hot moon
various artists,junjo presents: wins the world cup
hurry,guided meditation
aesop rock,the impossible kid
egyptian lover,egyptian lover 1983-1988
king gizzard & the lizard wizard,nonagon infinity
operators,blue wave
katy b,honey
various artists,close to the noise floor - formative uk electronica 1975 - 1984
holy ghost!,crime cutz
yoni & geti,testarossa
lush,gala
drake,views
various artists,dj koze presents pampa vol. 1
anna wise,the feminine: act i
alarm will sound,modernists
prince,"sign ""o"" the times"
prince,1999
"prince, the revolution",parade
"prince, the new power generation",diamonds and pearls
"prince, the revolution",purple rain
prince,dirty mind
prince,controversy
"prince, the revolution",around the world in a day
wire,nocturnal koreans
dej loaf,all jokes aside
dlek,asphalt for eden
horse lords,interventions
brian eno,the ship
"ensemble dal niente, deerhoof",balter / saunier
susanna,triangle
audio push,the stone junction
beyonc,lemonade
a$ap ferg,always strive and prosper
cullen omori,new misery
antwon,double ecstasy ep
andy stott,too many voices
etta james,at last!
ulver,bergtatt
kyle craft,dolls of highland
rogue wave,delusions of grand fur
john carpenter,lost themes ii
bill evans,some other time: the lost session from the black forest 
"dj quik, problem",rosecrans
plants and animals,waltzed in from the rumbling
jay reatard,blood visions
"konono n1, batida",konono n1 meets batida
primitive weapons,the future of death
sorority noise,it kindly stopped for me
guided by voices,please be honest
arthur russell,tower of meaning
cellars,phases
lawrence,yoyogi park
j dilla,the diary
carlos nio & friends,"flutes, echoes, it's all happening!"
various artists,"music of morocco: recorded by paul bowles, 1959"
various artists,bis: 001-020
sturgill simpson,a sailor's guide to earth
lush,blind spot ep
dave harrington group,become alive 
toyomu,iii :  (imagining the life of pablo)
deakin,sleep cycle
sam beam & jesca hoop,love letter for fire
bleached,welcome the worms 
mr. lif,don't look down
tunji ige,missed calls
kevin morby,singing saw
colin stetson,sorrow - a reimagining of gorecki's 3rd symphony
royce 59,layers
cate le bon,crab day
"tyler friedman, samuel rohrer",yyy ep
pj harvey,the hope six demolition project
xiu xiu,plays the music of twin peaks
eskimeaux,year of the rabbit
ben watt,fever dream
peder mannerfelt,controlling body
metallica,kill 'em all
niki and the dove,everybody's heart is broken now
kweku collins,nat love
greys,outer heaven
youth code,commitment to complications
deftones,gore
kaitlyn aurelia smith,ears
into it. over it.,standards
gallant,ology
dinner,psychic lovers
m83,junk
dj rashad,afterlife
frightened rabbit,painting of a panic attack
k. michelle,more issues than vogue
bombino,azel
parquet courts,human performance
mogwai,atomic
terrace martin,velvet portraits
tacocat,lost time
"trd, grs och stenar",djungelns lag
tim hecker,love streams
death grips,interview 2016
woods,city sun eater in the river of light
twenty88,twenty88
flying saucer attack,further
grimes,halfaxa
ash koosha,i aka i
andrew bird,are you serious
teen suicide,it's the big joyous celebration
"henry threadgill, ensemble double-up",old locks and irregular verbs
dvsn,sept. 5th
yeasayer,amen & goodbye
the last shadow puppets,everything you've come to expect
autolux,pussy's dead
bob mould,patch the sky
the field,the follower
leon vynehall,rojus
pet shop boys,super
tombs,all empires fall
com truise,silicon tare ep
frankie cosmos,next thing
eric bachmann,eric bachmann
black milk & nat turner,the rebellion sessions
nisennenmondai,#n/a
glenn jones,fleeting
azealia banks,slay-z
charles bradley,changes
black mountain,iv
mike and the melvins,three men and a baby
the monochrome set," volume, contrast, brilliance... unreleased & rare vol. 2"
weezer,weezer (white album)
young thug,slime season 3
bibio,a mineral love
laura gibson,empire builder
elliphant,living life golden
zayn,mind of mine
moderat,iii (moderat)
ramriddlz,venis
japanese breakfast,psychopomp
brad fiedel,the terminator ost
explosions in the sky,the wilderness
rjd2,dame fortune
domo genesis,genesis
anthony braxton,3 compositions (eemhm) 2011
public memory,wuthering drum
larry levan,genius of time
cobalt,slow forever
studio ost,scenes 2012-2015
babyfather,bbf hosted by dj escrow
masami akita & eiko ishibashi,kouen kyoudai
kamaiyah,a good night in the ghetto
the thermals,we disappear
father,i'm a piece of shit
margo price,midwest farmer's daughter
amnesia scanner,as ep
"vijay iyer, wadada leo smith",a cosmic rhythm with each stroke
charli xcx,vroom vroom ep
baauer,aa
boosie badazz,thug talk
starchild & the new romantic,crucial ep
ilovemakonnen,drink more water 6
the joy formidable,hitch
lucius,good grief
"the body, full of hell",one day you will ache like i ache
kiran leonard,grapefruit
gwen stefani,this is what the truth feels like
"boris, merzbow",gensho
rolling blackouts coastal fever,talk tight
various artists,trekkie trax the best 2012 - 2015
open mike eagle & paul white,hella personal film festival
"bonnie prince billy, bitchin bajas",epic jammers and fortunate little ditties
lust for youth,compassion
the goon sax,up to anything
bent shapes,wolves of want
gadget,the great destroyer
primal scream,chaosmosis
lil yachty,lil boat
hlos,full circle
various artists,wayfaring strangers: cosmic american music
chris forsyth and the solar motel band,the rarity of experience
jeff buckley,you and i
flatbush zombies,3001: a laced odyssey
the feelies,time for a witness
lifetones,for a reason
ceramic tl,sign of the cross every mile to the border
underworld,"barbara barbara, we face a shining future"
the body,no one deserves happiness
zelooperz,bothic
horse jumper of love,horse jumper of love
zach cooper,the sentence
sheer mag,iii ep
clark,the last panthers
dj katapila,trotro
fake boyfriend,mercy ep
immix ensemble & vessel,transition
the range,potential
lpsley,long way home
m. ward,more rain
big ups,before a million universes
methyl ethel,oh inhuman spectacle
iggy pop,post pop depression
fatima al qadiri,brute
tiga,no fantasy required
jealousy,paid for it
carter tanton,jettison the valley
glitterbust,glitterbust
"lil wayne, 2 chainz",collegrove
the big pink,empire underground ep
wussy,forever sounds
tokimonsta,fovere
kendrick lamar,untitled unmastered.
polia,united crushers
smoke dza,he has risen
mothers,when you walk a long distance you are tired
kane strang,blue cheese
anna meredith,varmints
el guincho,hiperasia
thao & the get down stay down,a man alive
jennifer o'connor,surface noise
mary lattimore,at the dam
esperanza spalding,emilys d+evolution
soulwax,belgica original soundtrack
sarah neufeld,the ridge
mikael seifu,zelalem
yndi halda,under summer 
loretta lynn,full circle
